terms,definition1,definition2
Etherscan,"A web tool that lets you explore transactions, wallets, and other aspects of Ethereum's blockchain. It also provides various charts to visualize said data as well as a list for those who want to track specific activity on the network.",
Fear and greed index,A technical indicator that measures market sentiment based on the prices of seven different assets.,
Fiat gateways,A cryptocurrency exchange that allows users to deposit fiat currencies such as the dollar or euro into their account for trading purposes.,
Flippening,The moment when a cryptocurrency's market capitalisation (or the total value of its tokens in circulation) surpasses that of another crypto.,
FOMO,"Fear Of Missing Out; the acronym that was coined to describe a phenomenon when investors buy or sell an asset based on others' actions, causing them to miss out on more profitable opportunities.",
Fork,"A software update that is not backwards compatible with previous versions of the same cryptocurrency protocol, creating an entirely new branch from block 0.","A collectively agreed upon software update by all nodes in a distributed network. Sometimes, the previous version continues in parallel with the new version."
FUD,"Fear, Uncertainty and Doubt; the acronym that was coined for cryptosphere discussions.",
FUDster,"A person who spreads FUD (fear, uncertainty and doubt) about a specific coin or blockchain project, often for self-benefit.",
Futures, A contract to buy or sell an asset at a later date with the price agreed upon today. Investors use these as both a hedge against risk and a tool for profit.,
Gas,"The name given to the transaction cost of running a smart contract, functions on Ethereum and other similar platforms. It is paid in units called Gwei which are a billionth of an Ether.",A fee charged to write a transaction to a public blockchain. The gas is used to reward the miner which validates the transaction.
Halving,The process by which Bitcoin mining rewards are reduced by 50% every four years; this is done to create scarcity and control the total supply (since no more than 21 million Bitcoins can ever be mined).,
Hash function,"A specific algorithm that maps data of any size to a fixed size output, also referred as a cryptographic function since they are often used for encryption and other security purposes where it cannot be reversed through computation alone; hashing takes an inputted string/file/document and outputs the same thing every single time so long as its original content has not been altered even if just by one letter or space character. This process is irreversible, making working backwards to discover what was used next nearly impossible unless someone had access to the private key associated with each transaction on blockchain networks containing these hashes written into their blocks instead. Every cryptocurrency's hash algorithm must meet certain requirements before being approved into existence.",
Hedging,"The use of two different strategies in order to reduce the risk involved with one strategy. For example, you could hedge by taking a long position and shorting it simultaneously; this would result in your exposure being less than if you just went long or short on that particular asset/trade alone.",
HODL,"An intentional typo for the word ""hold"" originally posted by an anonymous user on the Bitcointalk forum, which the crypto community later turned into slang for holding a cryptocurrency long term despite market volatility.",
Hot wallet,"Any cryptocurrency wallet that is connected to the internet and therefore at a higher risk of being hacked; they're not recommended for long-term storage, but rather as a way of sending/receiving funds where necessary.",
IDO,"Initial decentralised offering, which is similar to an ICO but lets users interact with the project before it goes live.",
IEO,Initial Exchange Offering: This is when a coin is sold for the first time via a digital currency exchange.,
Inflation,An economic condition where the general level of prices for goods and services is rising and the purchasing power of a currency falls.,
KYC,"Know Your Customer, which refers to the process of obtaining and verifying personal identification information from customers for business purposes before allowing them access to services or products.",
Lambo,Slang term used in reference to a Lamborghini is often an indicator of how quickly someone expects to become rich given the current market conditions. It's also often used ironically to convey the opposite: that someone has lost a lot of money during bearish periods.,
Memecoin,A digital currency that doesn't have any inherent value and is used for social media purposes.,
Mimblewimble,"A proposed upgrade to the Bitcoin protocol, consisting of a number of separate changes which aim to improve privacy and scalability without compromising on the latter. One main change it introduces is Confidential Transactions, which allows for both amounts and other metadata from transactions to be hidden. It was first suggested by Tom Elvis Jedusor (the alias of Harry Potter's nemesis Voldemort) in 2016.",
Miner,"An individual or group of people who use their computing power to confirm transactions on the blockchain network, receiving rewards in exchange for this service.",
Mining,"The process of creating new cryptocurrency units by solving complex mathematical problems, which are then verified and added to the blockchain network; miners usually receive a reward for their work in the form of these coins they mine.","In a public blockchain, the process of verifying a transaction and writing it to the blockchain for which the successful miner is rewarded in the cryptocurrency of the blockchain."
Mining difficulty,The process in which miners must use their computing power to solve complex cryptographic puzzles before verifying transactions and earning mining rewards. The difficulty level serves as an indicator of how competitive mining is at any given moment in time.,
Mining rigs,"Dedicated computers used for mining cryptocurrencies such as Bitcoin, Litecoin etc. These are custom-built machines designed specifically for the purpose of mining coins through finding solutions to complex mathematical problems so they can be added to public ledgers. They tend to have multiple graphics cards installed along with specially designed processors and cooling systems which helps them mine better than your average computer would be able to do alone.",
Moon,A slang term to describe a crypto price going up astronomically.,
NFT,Short for non-fungible tokens; digital assets which are unique and can't be replaced by generic items like coins or diamonds.,
Node,"A connected computer that is part of a network, the Blockchain in this case. All nodes are equal and each one can be used to broadcast messages across the entire system.",A computer which holds a copy of the blockchain ledger.
Peer to peer,"A system where two parties can conduct financial transactions with each other without involving a third party, like a bank. The Blockchain is an example of this since it connects nodes in its network directly to one another and allows them to share data/transactions freely between themselves.",
Permissioned ledger,A distributed ledger where only certain members are allowed access; this is usually determined by a set of rules or an access control layer.,
Pizza,"One of the first bitcoin transactions to ever take place. In 2010, a programmer named Laszlo Hanyecz offered to pay 10,000 Bitcoins (valued at around $40 at the time) for two pizzas from Papa John's.",
Pump and dump,"The process of buying and selling a coin on the market to raise its price and attract other users, followed by profit-taking.",
Ransomware,"A form of malware that infects computers and encrypts files, holding them hostage until the owner pays to get access back.",
Rekt,"A slang term used to describe a situation where an investor becomes ""wrecked"" by losing all their money due to trading or other factors within the market.",
Rugpull,A fraudulent cryptocurrency strategy in which crypto developers desert a project and flee with investors' money.,
Satoshi Nakamoto,"The pseudonym of the creator(s) behind Bitcoin, their true identity still remains a mystery today despite several attempts to solve this ongoing riddle.","The name used by the person or entity who developed bitcoin, authored the bitcoin white paper, and created and deployed bitcoin's original reference implementation. As part of the implementation, Nakamoto also devised the first blockchain
                database."
Scalability,"The capability of a system, network or process to handle a growing amount of work, be it products being sold online by an e-commerce store or increased transaction volume on a blockchain network without compromising safety/integrity or performance/speed requirements in any way from its original form when it was first created.",
Scalping,"The process of buying and selling a coin/token multiple times on the same day within short timeframes in order to profit from small price fluctuations over that period. These often occur when there is low volume, but many exchanges have daily limits for how much you can trade, so some traders will try to take advantage of these periods by making repeated trades throughout them.",
Scrypt,"An alternative proof-of-work algorithm designed by Colin Percival for Tarsnap online backup service in an effort to make it more difficult to perform large scale custom hardware attacks (which was possible with bitcoin because its SHA256 hash function could be run on commodity hardware). It's been adopted by many altcoins since then due to the increased cost involved when using ASICs rather than GPUs/CPUs, including Litecoin and Dogecoin.",
Shilling,"a type of hype where someone heavily promotes a cryptocurrency by using social media or their influence to draw attention towards it, often with no regard for the quality of the said coin.",
Sidechain,"A separate but interoperable blockchain that runs in parallel to the main chain and which enables assets to be transferred between them. Usually, it allows for faster transactions with lower costs since they aren't included in the more extensive network.","A discrete blockchain that is linked to a main blockchain via two-way pegs which enable assets to be interchanged between the main blockchain and the sidechain. Sidechains are a method to enable scaling and increase transaction speed by only
                performing necessary transactions on the main blockchain."
SPAC,"Special purpose acquisition companies (SPACs) are a type of security created by fusing together multiple different asset classes into one. For example, SPACs can be used for registering an initial public offering (IPO) where the company itself doesn't actually exist yet but will in the future once it's become profitable enough to go through with its plans and meet all requirements needed before doing so.",
Stablecoin,"A cryptocurrency designed to minimise price volatility, usually by pegging its value or supply against a physical asset such as fiat currencies like the US dollar or metals like silver and gold.","A cryptocurrency which is underwritten by an asset or assets (e.g., fiat currency, commodities, etc.) designed to minimize the volatility of the price of the coin/token."
Staking,"When you stake coins, you are effectively locking them away in a digital wallet for the purposes of maintaining the network. You are rewarded with more coins/tokens when your wallet is staking, but it also means that you cannot trade these coins while they're locked up.",
Stop order,An instruction given by an investor when placing a buy or sell order on the market; it sets a condition where they will automatically close their position if this condition is met (when the market reaches a certain rate).,
Tokenomics,"The study of how different variables within an economy impact each other and affect the decision making process. It is a branch of economics that looks at how different classes of assets, which have a monetary value attached to them, affect the dynamics within an economy.","The study, design and implementation of monetary management and distribution based on blockchain technology."
Tokens,"A unit of value used for various purposes within a crypto ecosystem. Tokens can represent any asset, from commodities like gold or coffee beans, to loyalty points, real estate, or even other cryptocurrencies.",
Trustless,A term used to describe a system that doesn't require trust in any party because it uses encryption and consensus mechanisms for security.,"The elimination of trust from a transaction. Blockchain is called a trustless system because the two entities performing a transaction do not need to trust one another. The properties of blockchain - digital signatures, cryptography, etc.
                - provide the trust."
Wallet,A digital location used to store crypto funds by storing private and public keys that provide access to your cryptocurrency holdings.,A digital file that holds coins and tokens held by the owner. The wallet also has a blockchain address to which transactions can be sent.
Wallet address,The public key of a cryptocurrency wallet that is used to receive funds.,
Wallet seed phrase,"This is a list of words used to generate deterministic keys for wallets; it can be thought of like a private password or pin number for your crypto funds. It's vitally important you keep them safe since if someone has access, then they could easily withdraw all your tokens.",
Wash trading,"This is when investors create artificial trading activity to appear as if they are doing business, but in reality, it's fake, and there is no actual, legitimate buying or selling occurring; this occurs most often with exchanges themselves who buy and sell their own tokens between each other to make them look like actual trades, driving up value artificially which can lead people to think that an asset will continue increasing before plummeting once all these fake transactions have been uncovered.",
Whale,"Slang term used in reference to an investor who has a substantial amount of capital to invest, typically one looking to make significant investments.",
Whale watching,Slang term used in reference to analysing investors' activity for clues that they are about to pump or dump coins.,
51% Attack,When more than 50% of the miners in a blockchain launch an attack on the rest of the nodes/users to attempt to steal assets or double spend.,
Address,"Much like a URL, a blockchain address is the location to or from which transactions occur on the blockchain.",
Alt-coin,Any coin or token other than Bitcoin.,
Attestation Ledger,"A register or account book created for the purpose of providing support/evidence of individual transactions. Normally, an attestation ledger is used to verify that a transaction has been carried out, or to verify the authenticity of products
                or transactions.",
Block,A group of transactions entered into a blockchain; analogous to a page of a ledger or record book.,
Blockchain (Private a.k.a. Permissioned),A blockchain that resides on a private network of computers that is only accessible to those with permission.,
Blockchain (Public a.ka. Permissionless),A blockchain that resides on a network of computers around the world that is accessible to everyone.,
Byzantine Fault Tolerance (BFT),"A property of a distributed, decentralized system to resist complete failure even when some of the nodes fail or act maliciously.",
Centralized,"A system or process for which there is a singular (i.e., central) source of authority, control and/or truth.",
Chain of Custody,The entire chain of documentation of ownership of a product during its lifecycle from raw materials to the final end user.,
Chaincode,Another name for a smart contract.,
Consensus Mechanism - Proof of Authority (PoA),"PoA is an alternative form to the PoS algorithm. Instead of staking cryptocurrency (wealth), in PoA you stake your identity. This means voluntarily disclosing who you are in exchange for the right to validate blocks. Any malicious actions
                you undertake as a validator will reflect back on your identity. PoA blockchains require a thorough form of KYC (Know Your Customer - a verification process that determines you actually are who you claim to be).",
Consensus Mechanism - Proof of Burn (PoB),"PoB allows the miners to “burn” or destroy cryptocurrency which grants them the right to add blocks in proportion to the coins destroyed. Essentially, miners burn coins/tokens to buy virtual mining rigs that give them the power
                to mine blocks. The more currency burned by the miner, the bigger the ensuing virtual mining rig. To burn, miners send currency to a verifiably un-spendable address. This process does not consume many resources, thus PoB is often called
                PoW without energy waste. Depending upon the implementation, miners are allowed to burn the native currency or the currency of an alternative chain, and in exchange, they receive a reward in the native currency of the blockchain.",
Consensus Mechanism - Proof of Capacity (PoC),"PoC allows the mining devices in the network to use their available hard drive space to decide the mining rights, instead of using the mining device’s computing power (as in PoW) or the miner’s stake in the cryptocurrency (as in
                PoS).",
Consensus Mechanism - Proof of Stake (PoS),"In PoS, miners put up(i.e., ""stake"") some of the blockchain's cryptocurrency (e.g., ether for the Ethereum blockchain) in order to increase their chances of being selected to validate a block. The stake is locked up as a deposit to ensure
                the miner validates the block according to the rules. If the miner violates the rules, the deposit will be ""burned"" or destroyed. PoS is less resource intensive than PoW since fewer miners are racing to solve the mathematical formula.",
Consensus Mechanism - Proof of Work (PoW),"In PoW, transaction data (block) + a random strings of digits (nonce of block) are repeatedly applied to a (hashing) mathematical formula by miners, until a desirable outcome is found (the proof of work). Other miners then verify the proof
                of work by taking the alleged input string and applying it to the same formulae to see if the outcome is indeed that what was presented. If the results are the same, the transaction is verified and added to the blockchain. As many miners
                are racing to solve the formula which requires a great deal of computing power, PoW is resource intensive.",
Consensus Mechanism (a.k.a. Consensus Protocol),The process used to validate a transaction across a distributed blockchain network designed to achieve Byzantine Fault Tolerance.,
DAO (Decentralized Autonomous Organization),"A governance structure without a central authority which rewards good behavior and penalizes bad behavior by a set of pre-defined rules which can only be changes by a vote, which typically requires a stake, adding risk to the process to discourage
                bad actors, amongst the participants.",
DApp,"Software which does not rely on a central system or database but can share information amongst its users via a decentralized database, such as a blockchain",
Decentralization/Decentralized,A system with no single point where the decision is made. Every node makes a decision for its own behavior and the resulting system behavior is the aggregate response.,
Digital Identity (a.k.a. Self-Sovereign Identity),"The network or Internet equivalent to the real identity of a person or entity (like a business or government agency). Advocates of blockchain-based digital identity is to return ownership and control of personal information to the individuals.
                In any given transaction, personal information is not disclosed, but rather the information required by one party is verified by the digital identity application.",
Digital Signature,A mathematical scheme for verifying digital messages or documents satisfy two requirements - they have authenticity (from a known sender) and integrity (were not altered in transit.,
Digital Signature - Multi-signature,"In order to increase security, mutisig addresses require more than one digital signature (and therefore multiple keys) to sign a transaction or message.",
Digital Signature - Ring,A digital signature that can be performed by any of a group of people that each have keys. A property of a ring signature is that it is impossible to determine which of the group signed the transaction.,
Distributed,"As opposed to decentralized, a distributed system shares processing and/or data across multiple nodes, but the decisions may still be centralized and use complete system knowledge.",
Distributed Ledger Technology (DLT),"The larger class of technology of which blockchain is a subset. A digital system for recording the transaction of assets in which the transactions and their details are recorded in multiple identical copies at the same time with no central
                data store or administration.",
Double Spending,A unique problem to cryptocurrency where the same coins or tokens are spent or traded twice.,
Ethereum,A public blockchain that supports smart contracts.,
Fiat,"Legal tender the value for which is backed by a government or governmental body (e.g., US dollars, Euros)",
Fungible,"The property an item of being exchangeable with other like items. For example, USD and Euros are fungible. The value of USD can be expressed in Euros.",
Genesis Block ,The first or first few blocks of a blockchain,
Governance,Establishment of policies and continuous monitoring of their proper implementation of an organization or system.,
Hash Function,A function that receives an input of any size and returns a unique string of a uniform length.,
Hyperledger Fabric,IBM's private (permissioned) blockchain toolset.,
Identity,"The information on an entity used by computer systems to uniquely represent a person, organization, application, or device.",
Immutable/Immutability,"The property of being unchangeable. Once a transaction has been added to a block and written to a blockchain, it cannot be changed and therefore is immutable.",
Initial Coin Offering (ICO),The first sale of a blockchain coin or token.,
Interoperability,"The ability of two or more systems to communicate and exchange data. Due to various design decisions (e.g., consensus protocol) most blockchains are not interoperable, however there are many projects that are working to connect various blockchains.",
IPFS (Interplanetary File System),A peer-to-peer hypermedia protocol for storing and sharing data in a distributed file system using content-addressing to uniquely identify each file in a global namespace connecting all computing devices.,
Know Your Customer (KYC),The legal process of a business identifying and verifying the identity of its clients. KYC requirements vary from jurisdiction to jurisdiction.,
Liquidity,"The ease of converting an asset (or, in this case, cryptocurrency) to cash (fiat).",
Mainnet,The production version of a blockchain.,
Merkle Tree/Hash Tree,"In cryptography and computer science, a Merkle or hash tree is a tree in which every leaf node is labelled with the hash of a data block, and every non-leaf node is labelled with the cryptographic hash of the labels of its child nodes.",
Non-Fungible,"The property an item of not being exchangeable with other like items. For example, USD and Euros are fungible. For example, a Stratovarius violin is non-fungible because the value of it cannot be expressed in a number of other violins.",
Off-chain,Data stored external to the blockchain.,
On-chain,Data stored within the blockchain.,
Open Source,"Software products that include permission to use, enhance, reuse or modify the source code, design documents, or content of the product.",
Oracle,An application that connects blockchain applications to legacy applications.,
Peer-to-Peer (P2P),A direct connection between two participants in a system - can be computer to computer or person to person.,
Provenance,The entire history of a product during its lifecycle including its chain of custody and all documentation of value added services and activities which were used to produce that product or service.,
Public/Private Key,A public key is a unique string of characters derived from a private key which is used to encrypt a message or data. The private key is used to decrypt the message or data.,
Seed Phrase,A random sequence of words which can be used to restore a lost wallet.,
Sharding,"A type of database partitioning that separates very large databases the into smaller, faster, more easily managed parts called data shards. Sharding can potentially be used to improve blockchain performance",
Smart Contract,"Self-executing computer code deployed on a blockchain to perform a function, often, but not always, the exchange of value between a buyer and a seller.",
Solidity,A JavaScript-like object-oriented programming language for Ethereum for implementing smart contracts on the Ethereum blockchain.,
State Channel,"A process by which blockchain transactions are executed off-chain, collected and then written to the main chain as a single transaction in order to improve performance and reduce cost.",
Testnet,A staging blockchain environment for testing application before being put into production (or onto the mainnet),
Token,"Cryptographic tokens represent programmable assets or access rights, managed by a smart contract and an underlying distributed ledger. They are accessible only by the person who has the private key for that address and can only be signed using
                this private key.",
Token Generation Event,The creation and first sale of a blockchain coin or token.,
Token Type - ERC-20,"A type of fungible Ethereum token (i.e., smart contract) standard which is defined by a series of functions that must be supported, including functions to retrieve the total supply, transfer from one wallet to another, and approve a transaction.
                Typically, any given ERC-20 token has many copies which are held in a variety of crypto wallets.",
Token Type - ERC-721,"A type of non-fungible Ethereum token (i.e., smart contract) standard which is defined by a series of functions that must be supported, including functions to retrieve the total supply, transfer from one wallet to another, and approve a transaction.
                Each ERC-721 token is unique and non-interchangeable with other tokens (i.e., non-fungible).",
Token/Coin Exchange,"An application to buy, sell and trade cryptocurrencies.",
Tokenless Ledger,A ledger that doesn't require a native currency to operate.,
Transactions Per Second (TPS),"A measurement of the speed of a blockchain. The low TPS of most blockchains is a significant barrier to using blockchain for business, especially financial, applications.",
Transparency,A primary property of public blockchains whereby any participant in a system or transaction can view the transactions on the blockchain.,
Trust,"Confidence in the integrity of an entity (e.g., person, organization, etc.).",
Vyper,"A Python-like programming language for the Ethereum blockchain built for security, language and compiler simplicity, and auditability.",
Wallet (Cold),A wallet disconnected from the internet.,
Wallet (Hot),A wallet connected to the Internet.,
Wallet (Multisignature),A wallet that requires multiple digital signatures to execute a transaction.,
Zeppelin/Open Zeppelin,A community of like-minded Smart Contract developers.,
